model,n,spearman,spearman_p,pearson,pearson_p,accuracy,precision,recall,f1,tp,tn,fp,fn
Random (lower bound),264,0.0329492254993702,0.5940571897639555,0.05807379171823423,0.34726710244174464,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5151515151515151,68,68,64,64
Char Trigram Jaccard,264,0.05525397468847815,0.3712180797179562,0.04665071619402078,0.45036978122148896,0.5,0.5,1.0,0.6666666666666666,132,0,132,0
Word2Vec CBOW,145,0.14473524609479732,0.08240190107919425,0.1538606869750521,0.06464421907949301,0.5172413793103449,0.5616438356164384,0.5189873417721519,0.5394736842105262,41,34,32,38
Word2Vec Skip-gram,145,0.22839575850236563,0.005726146713503539,0.189318034513493,0.022570643535063935,0.5862068965517241,0.6301369863013698,0.5822784810126582,0.6052631578947368,46,39,27,33
FastText + Subword (YOURS),264,0.2913183753901614,1.4664009180427902e-06,0.19707064023527315,0.001288877727469068,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,80,80,52,52
